,Date,mtt_signal,mansfield_rs,minervini_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分
811,2024-08-02,0,0.6192415249708594,1.0979030611661587,False,False,False,True,0,870,2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,-,-,-,ETF・ETN
812,2024-08-02,0,2.6166283311209515,3.0950180825379996,False,False,False,True,0,6480,2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,-,-,-,ETF・ETN
813,2024-08-02,0,0.7282248943766945,-1.4079121664481444,False,False,False,False,0,0,2862,上場インデックスファンドフランス国債（為替ヘッジあり）,-,-,-,ETF・ETN
814,2024-08-02,0,10.574009430850229,15.279759004220736,False,False,True,False,238,0,2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,-,-,-,ETF・ETN
815,2024-08-02,0,-1.7908873311095475,-2.614332394279992,False,False,False,True,0,276777,2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,-,-,-,ETF・ETN
816,2024-08-02,0,2.0489876400910045,2.508389252178507,False,False,True,False,83497,0,2866,グローバルＸ　米国優先証券　ＥＴＦ,-,-,-,ETF・ETN
817,2024-08-02,0,-6.465705204238348,-7.07823312756789,False,False,False,True,0,1174,2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,-,-,-,ETF・ETN
818,2024-08-02,0,1.0246205191052127,-0.3580820446357746,False,False,True,False,33843,0,2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,-,-,-,ETF・ETN
819,2024-08-02,0,7.9511699464785535,18.64556254364242,False,False,False,True,0,47775,2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,-,-,-,ETF・ETN
820,2024-08-02,0,-11.732542036972927,-20.445168013298805,False,False,True,False,46963,0,2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,-,-,-,ETF・ETN
821,2024-08-02,0,8.324926083648144,9.115102004086802,False,False,False,True,0,1089100,2871,ニチレイ,食料品,食品,TOPIX Mid400,プライム（内国株式）
822,2024-08-02,0,16.57643787351204,3.0575999081313974,False,False,False,True,0,7000,2872,セイヒョー,食料品,食品,-,スタンダード（内国株式）
823,2024-08-02,0,-5.312217976772304,-9.861956160930088,False,False,False,True,0,179700,2874,横浜冷凍,卸売業,商社・卸売,TOPIX Small 2,プライム（内国株式）
824,2024-08-02,0,8.57363564741387,19.53694502234479,False,False,False,True,0,780100,2875,東洋水産,食料品,食品,TOPIX Mid400,プライム（内国株式）
825,2024-08-02,0,-15.83967784556003,-10.983989539313708,False,False,False,True,0,13900,2876,デルソーレ,食料品,食品,-,スタンダード（内国株式）
826,2024-08-02,0,-1.0807298804505927,-3.5585671699013237,False,False,False,True,0,5300,2877,日東ベスト,食料品,食品,-,スタンダード（内国株式）
827,2024-08-02,0,0.23277016732552447,-0.7870652529359968,False,False,False,True,0,50800,2882,イートアンドホールディングス,食料品,食品,TOPIX Small 2,プライム（内国株式）
828,2024-08-02,0,0.6903033270665881,-0.8527339655847467,False,False,False,True,0,9500,2883,大冷,食料品,食品,TOPIX Small 2,スタンダード（内国株式）
829,2024-08-02,0,12.37740634174549,16.490555323026655,False,False,False,True,0,474200,2884,ヨシムラ・フード・ホールディングス,食料品,食品,TOPIX Small 2,プライム（内国株式）
830,2024-08-02,0,-23.552635625583427,-13.626299540630276,False,False,False,True,0,18400,2892,日本食品化工,食料品,食品,-,スタンダード（内国株式）
831,2024-08-02,0,0.3573612503192214,1.505010768454604,False,False,False,True,0,13500,2894,石井食品,食料品,食品,-,スタンダード（内国株式）
832,2024-08-02,0,-3.9157784075937507,-1.062572575796299,False,False,False,True,0,1293600,2897,日清食品ホールディングス,食料品,食品,TOPIX Mid400,プライム（内国株式）
833,2024-08-02,1,31.45066202443885,36.663980269687116,False,False,False,True,0,10400,2899,永谷園ホールディングス,食料品,食品,TOPIX Small 2,プライム（内国株式）
834,2024-08-02,1,35.627131927998605,36.36051541647491,False,False,False,True,0,160500,2901,ウェルディッシュ,食料品,食品,-,スタンダード（内国株式）
835,2024-08-02,0,-5.343973865166884,-3.761664752772056,False,False,False,True,0,14200,2903,シノブフーズ,食料品,食品,-,スタンダード（内国株式）
836,2024-08-02,0,-0.6707335595451225,-1.4945298068957413,False,False,False,True,0,33800,2904,一正蒲鉾,食料品,食品,TOPIX Small 2,スタンダード（内国株式）
837,2024-08-02,0,7.197765282367308,9.812341091879329,False,False,True,False,30300,0,2907,あじかん,食料品,食品,-,スタンダード（内国株式）
838,2024-08-02,0,-4.469229336342928,-6.082198486315578,False,True,False,True,0,132500,2908,フジッコ,食料品,食品,TOPIX Small 2,プライム（内国株式）
839,2024-08-02,0,-5.102746277602577,-4.717054207191649,False,False,False,True,0,65800,2910,ロック・フィールド,食料品,食品,TOPIX Small 1,プライム（内国株式）
840,2024-08-02,0,2.5052967378506485,1.9763224887008681,False,False,False,True,0,2300,2911,旭松食品,食料品,食品,-,スタンダード（内国株式）
841,2024-08-02,0,5.643998480533097,10.955974743204973,False,False,True,False,8140000,0,2914,日本たばこ産業,食料品,食品,TOPIX Large70,プライム（内国株式）
842,2024-08-02,0,7.368615281797641,13.603749579553828,False,False,False,True,0,47300,2915,ケンコーマヨネーズ,食料品,食品,TOPIX Small 2,プライム（内国株式）
843,2024-08-02,0,11.188561463109469,11.277335077036236,False,False,False,True,0,6800,2916,仙波糖化工業,食料品,食品,-,スタンダード（内国株式）
844,2024-08-02,0,1.607385597549582,1.5553094496175834,False,False,False,True,0,11500,2917,大森屋,食料品,食品,-,スタンダード（内国株式）
