Date,mtt_condition,mtt_on,mtt_off,mansfield_rs,mansfield_rs_ma,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_positive_mom,is_negative_mom,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,mansfield_rsi,minervini_rsi
2024-08-09,1,1,0,28.706104669660526,-3.8480354499776666,29.394683009124428,60.72564732412515,False,False,1,0,False,True,0,214400,1,1,6226,守谷輸送機工業,機械,機械,-,スタンダード（内国株式）,96.8,95.6
2024-08-09,1,0,0,26.10693774499453,-9.477235766037564,22.876874698496145,88.43071719083477,False,False,0,0,False,True,0,2000,1,1,6236,ＮＣホールディングス,機械,機械,TOPIX Small 2,スタンダード（内国株式）,96.1,93.9
2024-08-09,1,1,0,28.47997639713855,-5.948371204954294,26.484715643219523,139.1293842870374,True,False,1,0,False,False,0,0,1,1,6362,石井鐵工所,機械,機械,TOPIX Small 2,スタンダード（内国株式）,96.6,94.9
2024-08-09,1,1,0,18.584704860331946,-3.260959068127885,17.76677939506661,174.60637055530947,False,False,1,0,True,False,242900,0,1,-1,6406,フジテック,機械,機械,TOPIX Mid400,プライム（内国株式）,93.9,91.8
2024-08-09,1,0,0,37.2071853016748,24.092347813763467,53.82502000163627,144.1630088994483,False,False,1,0,False,True,0,327500,1,1,6507,シンフォニアテクノロジー,電気機器,電機・精密,TOPIX Small 1,プライム（内国株式）,98.0,98.4
2024-08-09,1,0,0,44.30507032258686,-3.6385094196076757,37.940405552325885,106.71284178311117,False,False,1,0,False,True,0,318400,-1,-1,6524,湖北工業,電気機器,電機・精密,-,スタンダード（内国株式）,98.7,97.0
2024-08-09,1,0,0,122.68373097206755,14.261037809613377,153.19602890037663,102.12217613659243,False,False,1,0,True,False,27800,0,1,1,6557,ＡＩＡＩグループ,サービス業,情報通信・サービスその他,-,グロース（内国株式）,99.9,99.8
2024-08-09,1,1,0,63.76491086987792,17.825125226146298,87.13725708886743,89.79986308541054,False,False,1,0,True,False,127800,0,-1,-1,6620,宮越ホールディングス,不動産業,不動産,TOPIX Small 2,プライム（内国株式）,99.5,99.4
2024-08-09,1,0,0,38.348134857654784,14.790005066038066,65.48482903880415,43.168364676035914,False,False,1,0,True,False,2484300,0,1,1,6632,ＪＶＣケンウッド,電気機器,電機・精密,TOPIX Small 1,プライム（内国株式）,98.2,98.8
2024-08-09,1,1,0,15.241996343194808,-4.370418508681805,15.65316816284685,67.69218378770185,False,False,1,0,True,False,5300,0,1,-1,6734,ニューテック,電気機器,電機・精密,-,スタンダード（内国株式）,91.7,90.2
2024-08-09,1,0,0,75.58886600476463,24.824403776168136,99.63680116463458,216.64720331816534,False,False,1,0,False,True,0,123900,1,1,6736,サン電子,電気機器,電機・精密,-,スタンダード（内国株式）,99.5,99.5
2024-08-09,1,1,0,26.677119000054827,3.5947316947098034,28.837370169968224,62.13506221560021,False,False,1,0,False,False,0,0,1,1,6785,鈴木,電気機器,電機・精密,TOPIX Small 2,プライム（内国株式）,96.2,95.6
2024-08-09,1,1,0,21.020311638692846,10.940471829454072,28.657313766566045,215.4391334111867,False,False,1,0,True,False,14000,0,-1,1,6789,ローランド　ディー．ジー．,電気機器,電機・精密,TOPIX Small 1,プライム（内国株式）,94.8,95.5
2024-08-09,1,0,0,88.73126915080014,-9.577960285727732,71.26456402702833,54.5644907985342,False,False,0,1,False,True,0,431600,1,1,6836,ぷらっとホーム,電気機器,電機・精密,-,スタンダード（内国株式）,99.7,99.0
2024-08-09,1,0,0,39.996239668465286,-3.892135653057407,37.86998079581742,55.853098699311396,False,False,1,0,True,False,200200,0,1,1,6937,古河電池,電気機器,電機・精密,TOPIX Small 2,プライム（内国株式）,98.3,97.0
2024-08-09,1,0,0,49.54063839287659,28.817741768856077,79.2504196402791,69.66536463576692,False,False,1,0,True,False,85208900,0,1,-1,7011,三菱重工業,機械,機械,TOPIX Large70,プライム（内国株式）,99.1,99.2
2024-08-09,1,0,0,44.69325940283522,-0.6773152485836152,49.31169830488235,199.7342246204647,False,False,0,1,False,True,0,3355600,-1,-1,7013,ＩＨＩ,機械,機械,TOPIX Mid400,プライム（内国株式）,98.7,98.1
