Date,is_52w_high,is_52w_low,hh-hl,trin,trin_13ma
2023-08-18,41,175,-134,0.6633523491311146,0.8171585501756123
2023-08-21,74,101,-27,1.4338517676303981,0.9052575812405818
2023-08-22,102,65,37,0.589326613360158,0.8601245858290927
2023-08-23,143,54,89,1.1870999373686757,0.9068353503347475
2023-08-24,199,34,165,0.9952169228562676,0.9194612892663934
2023-08-25,114,34,80,1.285114037970886,0.9716973962241781
2023-08-28,266,20,246,1.171830970306182,1.0002879068073214
2023-08-29,318,11,307,1.0541980866906768,1.0079893610763722
2023-08-30,319,14,305,0.641432201116661,0.9556240525106992
2023-08-31,381,22,359,0.8334911117601144,0.93817648954633
2023-09-01,460,19,441,0.6252220931164577,0.8934687186277769
2023-09-04,641,15,626,0.6887801887103342,0.8642275000681423
2023-09-05,570,17,553,1.2638259167548949,0.9213129881662498
2023-09-06,600,23,577,0.515074814803405,0.8632789634001292
2023-09-07,492,23,469,0.7540220822966035,0.8476708375281969
2023-09-08,221,33,188,1.2123598939140474,0.8997692741547471
2023-09-11,291,45,246,0.7118557528725104,0.8729244854001419
2023-09-12,340,34,306,1.2305988666127192,0.9240208255733673
2023-09-13,343,32,311,0.3705237637261416,0.8449498167380495
2023-09-14,391,38,353,0.5320076410939708,0.8002437916460383
2023-09-15,620,56,564,0.6493082648724904,0.7786815735355315
2023-09-19,456,52,404,0.6759234237583004,0.7640018378530699
2023-09-20,426,65,361,1.4530609021747434,0.8624388470418805
2023-09-21,169,103,66,0.7298565740904791,0.8434985223345374
2023-09-22,117,118,-1,1.185970324604809,0.8924230655160048
2023-09-25,193,25,168,1.4870656279174856,0.9773720030019307
2023-09-26,173,34,139,0.868049611361279,0.9617545184818377
2023-09-27,152,45,107,1.2996587834913678,1.010026556340342
2023-09-28,263,44,219,0.9716409578385892,1.0045428994115202
2023-09-29,143,33,110,1.8897941811909038,1.1310073682371464
2023-10-02,136,63,73,0.7135400873653672,1.0713691852554637
2023-10-03,30,190,-160,0.5708334465251907,0.9998640797225675
2023-10-04,15,316,-301,0.4801522958698921,0.9256195391721853
2023-10-05,28,113,-85,1.1650927818155337,0.9598300024069494
2023-10-06,39,79,-40,1.5337756526675987,1.0418222381584707
2023-10-10,85,36,49,0.679374001278303,0.9900439186041612
2023-10-11,69,48,21,0.8273260629907604,0.9667985106593897
2023-10-12,92,76,16,0.7936938705668516,0.9420692763604557
2023-10-13,70,141,-71,0.831943363124566,0.9263370030410429
2023-10-16,27,278,-251,0.6752913654551345,0.8904733405287704
2023-10-17,53,121,-68,0.9724819383119758,0.9021888544977997
2023-10-18,63,144,-81,1.7194897122315713,1.0189461198883385
2023-10-19,47,165,-118,0.6878268399996268,0.9716433656185226
2023-10-20,43,251,-208,0.9684740005938242,0.9711905991864228
2023-10-23,38,282,-244,0.8010250770680165,0.9468812388837934
2023-10-24,20,406,-386,1.3747641714851992,1.0080073721125657
2023-10-25,54,43,11,0.661739275724984,0.9585405012000542
2023-10-26,40,106,-66,0.8805251787856352,0.9473954551408516
2023-10-27,75,87,-12,1.1410357328135308,0.9750583519512344
2023-10-30,76,167,-91,1.6003890303346562,1.0643913060060088
2023-10-31,103,190,-87,1.1771148554803637,1.080494670216631
2023-11-01,210,83,127,0.6132262256401554,1.0137420352771345
2023-11-02,209,56,153,1.2283498363383203,1.0444002925715896
2023-11-06,186,27,159,1.655787162414861,1.1317412739777715
2023-11-07,137,31,106,1.7135779751071814,1.2148608027105445
2023-11-08,72,51,21,1.0666711503124506,1.1936908523679597
2023-11-09,91,47,44,0.5716324129262011,1.1048253610191372
2023-11-10,105,80,25,0.778583206060957,1.0582193388822543
2023-11-13,172,105,67,0.6636010689611342,1.0018453003220944
2023-11-14,140,128,12,0.6289881641829193,0.9485799951593552
2023-11-15,164,137,27,1.4823142368893696,1.0248277439779288
2023-11-16,117,126,-9,0.6761306654027676,0.9750138756100487
2023-11-17,127,129,-2,0.9727295180218094,0.9746875388117289
2023-11-20,194,67,127,0.8953148086006917,0.9633485773530093
2023-11-21,90,40,50,1.2811412051280828,1.00874752417802
2023-11-22,139,30,109,1.2345436136941403,1.0410041083946087
2023-11-24,200,33,167,1.1263946987496694,1.0532027641596173
2023-11-27,183,38,145,0.7988175961179472,1.0168620258679502
2023-11-28,143,45,98,1.1546570387716273,1.0365470277113327
2023-11-29,129,47,82,1.2493338095594573,1.066945139403922
2023-11-30,137,54,83,1.0272778625687993,1.0612783855703332
2023-12-01,181,74,107,0.45456393902203496,0.9746048932062906
2023-12-04,148,86,62,1.1847310725028894,1.0046229188200906
2023-12-05,118,82,36,0.5145777090764233,0.934616460285281
2023-12-06,174,84,90,1.1714121761725629,0.9684444196977499
2023-12-07,111,124,-13,0.4049038873294362,0.8879386293594194
2023-12-08,77,211,-134,0.5322810172956829,0.8371303990645999
2023-12-11,120,141,-21,0.8786100389998744,0.8430560619124963
2023-12-12,149,189,-40,1.5199817796773043,0.9397597358788975
2023-12-13,119,199,-80,1.4915319634734998,1.0185843398209837
2023-12-14,119,213,-94,1.3189869595882993,1.061498999787743
2023-12-15,70,154,-84,1.6504616332340527,1.1456365188515016
2023-12-18,54,188,-134,0.8390076545036331,1.1018323953732347
2023-12-19,97,136,-39,1.5225724810239953,1.161938121894772
2023-12-20,161,89,72,0.7464129932834516,1.102577389236012
2023-12-21,50,161,-111,0.42105821897860013,1.0052175077706675
2023-12-22,101,167,-66,0.5591943439229593,0.9414999129352807
2023-12-25,146,242,-96,1.5562625009389348,1.0293231397929457
2023-12-26,86,225,-139,1.40196161311454,1.0825572074103165
2023-12-27,130,145,-15,0.61710807185697,1.0160644737598385
2023-12-28,177,43,134,1.2979628010856035,1.056335663377805
2023-12-29,166,12,154,0.7971033341918661,1.0193024734940994
2024-01-04,243,14,229,0.6300098672020451,0.963689244023806
2024-01-05,304,15,289,0.5203230045575817,0.9003512098143455
2024-01-09,395,23,372,1.57619067884363,0.9968997053899576
2024-01-10,379,20,359,0.934140187350141,0.9879340599556982
2024-01-11,461,23,438,0.519942309318268,0.9210780955789225
2024-01-12,353,26,327,0.8905818405352972,0.9167214877155475
2024-01-15,202,10,192,0.4331243940789931,0.8476361886246112
2024-01-16,443,42,401,0.6668923989095545,0.821815647236746
2024-01-17,368,52,316,0.4293169255830568,0.7657444012862191
2024-01-18,155,70,85,1.2126974296447304,0.8295948339088636
2024-01-19,202,37,165,1.4329147557569433,0.915783394172875
2024-01-22,390,35,355,0.9989999246064515,0.9276714699491002
2024-01-23,400,27,373,0.9593096968614185,0.93219121665086
2024-01-24,165,12,153,0.911590590059066,0.9292482699948894
2024-01-25,243,20,223,1.4996211020841097,1.0107301031504925
2024-01-26,199,13,186,1.6224438401299328,1.0981177798618411
2024-01-29,277,13,264,0.9280991575147032,1.0738294052408215
2024-01-30,281,25,256,0.8147370767639405,1.03681621545841
2024-01-31,287,34,253,0.9294935587072032,1.0214844073510947
2024-02-01,284,55,229,0.6533584545503955,0.9688949855224234
2024-02-02,285,35,250,1.0753754700759472,0.984106483315784
2024-02-05,350,38,312,1.021794832803039,0.9894905332425348
2024-02-06,228,40,188,0.7912989756278858,0.9611774535832992
2024-02-07,229,54,175,0.6720844860763655,0.9198784582251659
2024-02-08,228,97,131,0.9913141442650873,0.930083556230869
2024-02-09,240,90,150,0.8683913862553808,0.9212703890915136
2024-02-13,348,95,253,0.5755294384399688,0.8718788247127215
2024-02-14,202,153,49,0.5434309593041994,0.8249577010829326
2024-02-15,257,262,-5,0.5568727657823411,0.7866598531828483
2024-02-16,316,163,153,1.1880169529781215,0.8439965817250301
2024-02-19,280,49,231,1.121656188386168,0.8836622398194784
2024-02-20,304,27,277,1.0854388047524615,0.9124874633813332
2024-02-21,140,32,108,0.7159243907603057,0.8844070244354723
2024-02-22,277,78,199,0.792838885179474,0.8713258616846155
2024-02-26,433,45,388,0.7911546856144246,0.8598728365317311
2024-02-27,328,39,289,0.9893764319901399,0.8783733501686467
2024-02-28,331,20,311,0.8694676178921323,0.8771011027005733
2024-02-29,222,37,185,0.7140544426460439,0.8538087226927834
2024-03-01,327,50,277,0.6033321139587414,0.8180263500164917
2024-03-04,367,62,305,0.7533466584590067,0.8087863940797082
2024-03-05,239,85,154,0.9620410448147185,0.8306799156132811
2024-03-06,314,42,272,0.751047226321318,0.8193038171430007
2024-03-07,388,54,334,0.5757251666440476,0.7845068670717218
2024-03-08,303,65,238,0.8564162387598386,0.7947796344557385
2024-03-11,100,64,36,0.8945013005876594,0.8090255867602987
2024-03-12,70,70,0,3.17623206076612,1.147197940189702
2024-03-13,124,47,77,0.6836809873191979,1.080981232636773
2024-03-14,123,25,98,1.0808672933863852,1.0809649556010033
2024-03-15,164,36,128,0.7677414455690419,1.0362187398821516
2024-03-18,252,19,233,1.0570929885499405,1.0392007754061214
2024-03-19,296,23,273,1.3106533536041083,1.077979715148691
2024-03-21,612,28,584,1.1119673115047162,1.0828350860566947
2024-03-22,527,27,500,0.7300855951120806,1.0324423016360356
2024-03-25,379,17,362,1.402976180075614,1.0853757128416897
2024-03-26,216,23,193,0.7622029514274522,1.0392081754967986
2024-03-27,376,14,362,1.2921002902244156,1.0753356204578868
2024-03-28,337,20,317,1.0314438283391905,1.0690653644409303
2024-03-29,335,13,322,1.3267455020253136,1.1058768126672707
2024-04-01,363,22,341,1.240901378408465,1.1251660363445843
2024-04-02,81,58,23,0.27368655626237315,1.0035261106185542
2024-04-03,94,80,14,1.1593007521414829,1.0257796308361156
2024-04-04,152,45,107,0.7456362625959471,0.9857591496589487
2024-04-05,65,86,-21,0.9611897028012081,0.9822492286792716
2024-04-08,152,30,122,0.8940357996645238,0.9696473102485934
2024-04-09,183,17,166,0.779290688777403,0.9424535071812805
2024-04-10,236,15,221,1.2272255564984802,0.9831352285123092
2024-04-11,197,42,155,0.7385646439375796,0.9481965735730621
