Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2010-08-20,13,27,111,9,154,649,1347,527320882,1130700539
2010-08-23,15,16,110,9,260,751,1307,770155929,645155243
2010-08-24,11,18,103,10,367,999,1118,682275578,1117752618
2010-08-25,13,20,96,9,427,1040,1091,504551622,1657029693
2010-08-26,27,12,111,15,250,1176,877,591634894,995107292
2010-08-27,26,10,127,16,203,1762,356,1927313198,151571124
2010-08-30,25,12,140,31,55,1115,970,1036913729,748165447
2010-08-31,7,40,107,14,177,377,1764,143269773,1931914095
2010-09-01,26,15,118,15,244,1118,884,1647222344,330217558
2010-09-02,11,10,119,13,111,698,1260,349047051,1128340822
2010-09-03,10,10,119,14,89,1148,845,845391389,665936556
2010-09-06,31,5,145,20,54,1601,458,1508036418,107130380
2010-09-07,11,18,138,18,53,1001,973,948974415,470544535
2010-09-08,12,28,122,15,85,785,1199,750654130,791367066
2010-09-09,24,4,142,19,62,1021,941,642271325,794509677
2010-09-10,19,14,147,22,69,1085,933,2182575567,574650049
2010-09-13,28,15,160,25,43,817,1248,1061115184,573679749
2010-09-14,14,20,154,24,64,732,1284,426177886,1154114410
2010-09-16,24,23,155,35,67,495,1582,147646792,1839162942
2010-09-17,27,17,165,31,45,1266,790,1116383565,831501238
2010-09-21,24,10,179,38,54,567,1579,592523045,1318768729
2010-09-22,20,22,177,23,66,940,1171,501815142,1146558126
2010-09-24,7,25,159,22,81,918,1208,1769495668,587436701
2010-09-27,27,15,171,33,102,1321,861,1001574501,881652991
2010-09-28,11,26,156,21,116,1136,923,947441935,517649585
2010-09-29,17,14,159,32,84,1506,598,1588748126,398867569
2010-09-30,12,30,141,29,119,393,1735,71415349,2135700731
2010-10-01,10,17,134,18,187,654,1365,550538518,1645202152
2010-10-04,9,18,125,25,237,507,1633,788315388,1291745232
2010-10-05,10,10,125,17,345,1414,691,1806105918,1208736129
2010-10-06,18,12,131,23,143,1227,862,2652197259,382783772
2010-10-07,16,11,136,28,129,1292,764,1657627947,478310750
2010-10-08,9,13,132,17,126,831,1242,528218739,1945645273
